#Accession	Name	No_orfs	Coverage	Abundance	Description
COG0002	ArgC	1	0.997134	0.000229	Acetylglutamate semialdehyde dehydrogenase
COG0004	AmtB	1	0.977995	0.000225	Ammonia permease
COG0005	Pnp	2	1.954198	0.00045	Purine nucleoside phosphorylase
COG0006	PepP	1	0.997395	0.000229	Xaa-Pro aminopeptidase
COG0007	CysG	4	3.930327	0.000905	Uroporphyrinogen-III methylase
COG0008	GlnS	3	2.497881	0.000575	Glutamyl- and glutaminyl-tRNA synthetases
COG0009	SUA5	1	0.981042	0.000226	Putative translation factor (SUA5)
COG0010	SpeB	3	2.918032	0.000672	Arginase/agmatinase/formimionoglutamate hydrolase, arginase family
COG0012	COG0012	1	1	0.00023	Predicted GTPase, probable translation factor
COG0013	AlaS	1	0.995449	0.000229	Alanyl-tRNA synthetase
COG0014	ProA	1	0.865707	0.000199	Gamma-glutamyl phosphate reductase
COG0015	PurB	1	1	0.00023	Adenylosuccinate lyase
COG0016	PheS	1	0.985074	0.000227	Phenylalanyl-tRNA synthetase alpha subunit
COG0018	ArgS	1	1	0.00023	Arginyl-tRNA synthetase
COG0019	LysA	3	2.875634	0.000662	Diaminopimelate decarboxylase
COG0020	UppS	1	0.95102	0.000219	Undecaprenyl pyrophosphate synthase
COG0021	TktA	1	0.968325	0.000223	Transketolase
COG0022	AcoB	2	1.953703	0.00045	Pyruvate/2-oxoglutarate dehydrogenase complex, dehydrogenase (E1) component, eukaryotic type, beta subunit
COG0024	Map	2	1.97647	0.000455	Methionine aminopeptidase
COG0025	NhaP	1	0.927738	0.000213	NhaP-type Na+/H+ and K+/H+ antiporters
COG0026	PurK	1	0.944	0.000217	Phosphoribosylaminoimidazole carboxylase (NCAIR synthetase)
COG0027	PurT	1	0.967005	0.000222	Formate-dependent phosphoribosylglycinamide formyltransferase (GAR transformylase)
COG0028	IlvB	7	6.852727	0.001579	Thiamine pyrophosphate-requiring enzymes
COG0029	NadB	1	0.969111	0.000223	Aspartate oxidase
COG0030	KsgA	2	1.200772	0.000276	Dimethyladenosine transferase (rRNA methylation)
COG0031	CysK	3	2.966666	0.000683	Cysteine synthase
COG0033	Pgm	1	0.988549	0.000227	Phosphoglucomutase
COG0034	PurF	1	0.97234	0.000224	Glutamine phosphoribosylpyrophosphate amidotransferase
COG0035	Upp	2	1.985714	0.000457	Uracil phosphoribosyltransferase
COG0036	Rpe	1	0.977272	0.000225	Pentose-5-phosphate-3-epimerase
COG0037	MesJ	1	0.593959	0.000136	tRNA(Ile)-lysidine synthase MesJ
COG0038	EriC	1	0.995485	0.000229	Chloride channel protein EriC
COG0039	Mdh	2	1.936102	0.000446	Malate/lactate dehydrogenases
COG0040	HisG	1	0.741379	0.00017	ATP phosphoribosyltransferase
COG0041	PurE	1	0.91358	0.00021	Phosphoribosylcarboxyaminoimidazole (NCAIR) mutase
COG0042	COG0042	2	1.904024	0.000438	tRNA-dihydrouridine synthase
COG0043	UbiD	1	0.997903	0.000229	3-polyprenyl-4-hydroxybenzoate decarboxylase and related decarboxylases
COG0044	PyrC	2	1.967441	0.000453	Dihydroorotase and related cyclic amidohydrolases
COG0045	SucC	3	2.994832	0.00069	Succinyl-CoA synthetase, beta subunit
COG0046	PurL	1	0.974427	0.000224	Phosphoribosylformylglycinamidine (FGAM) synthase, synthetase domain
COG0047	PurL	1	0.987012	0.000227	Phosphoribosylformylglycinamidine (FGAM) synthase, glutamine amidotransferase domain
COG0048	RpsL	1	0.953488	0.000219	Ribosomal protein S12
COG0049	RpsG	1	1	0.00023	Ribosomal protein S7
COG0050	TufB	1	1	0.00023	GTPases - translation elongation factors
COG0051	RpsJ	1	0.980769	0.000226	Ribosomal protein S10
COG0052	RpsB	1	0.960317	0.000221	Ribosomal protein S2
COG0053	MMT1	1	0.953947	0.000219	Predicted Co/Zn/Cd cation transporters
COG0054	RibH	1	0.947368	0.000218	Riboflavin synthase beta-chain
COG0055	AtpD	1	0.974358	0.000224	F0F1-type ATP synthase, beta subunit
COG0056	AtpA	1	0.994047	0.000229	F0F1-type ATP synthase, alpha subunit
COG0057	GapA	2	1.985074	0.000457	Glyceraldehyde-3-phosphate dehydrogenase/erythrose-4-phosphate dehydrogenase
COG0058	GlgP	1	1	0.00023	Glucan phosphorylase
COG0059	IlvC	1	0.994082	0.000229	Ketol-acid reductoisomerase
COG0060	IleS	1	0.99464	0.000229	Isoleucyl-tRNA synthetase
COG0061	nadF	1	0.822064	0.000189	NAD kinase
COG0062	COG0062	1	1	0.00023	Uncharacterized conserved protein
COG0063	COG0063	2	1.936619	0.000446	Predicted sugar kinase
COG0064	GatB	1	0.991718	0.000228	Asp-tRNAAsn/Glu-tRNAGln amidotransferase B subunit (PET112 homolog)
COG0065	LeuC	2	1.992907	0.000459	3-isopropylmalate dehydratase large subunit
COG0066	LeuD	2	1.984293	0.000457	3-isopropylmalate dehydratase small subunit
COG0067	GltB	1	0.991913	0.000228	Glutamate synthase domain 1
COG0068	HypF	1	0.993333	0.000228	Hydrogenase maturation factor
COG0069	GltB	1	0.993814	0.000229	Glutamate synthase domain 2
COG0070	GltB	1	0.916943	0.000211	Glutamate synthase domain 3
COG0071	IbpA	3	2.438356	0.000562	Molecular chaperone (small heat shock protein)
COG0072	PheT	1	1	0.00023	Phenylalanyl-tRNA synthetase beta subunit
COG0073	ARC1	2	1.902439	0.000438	EMAP domain
COG0074	SucD	3	2.969283	0.000684	Succinyl-CoA synthetase, alpha subunit
COG0077	PheA	2	1.121863	0.000258	Prephenate dehydratase
COG0078	ArgF	2	1.993548	0.000459	Ornithine carbamoyltransferase
COG0079	HisC	3	2.935393	0.000676	Histidinol-phosphate/aromatic aminotransferase and cobyric acid decarboxylase
COG0080	RplK	1	0.985815	0.000227	Ribosomal protein L11
COG0081	RplA	1	1	0.00023	Ribosomal protein L1
COG0082	AroC	1	0.959349	0.000221	Chorismate synthase
COG0084	TatD	1	0.988281	0.000227	Mg-dependent DNase
COG0085	RpoB	1	0.995283	0.000229	DNA-directed RNA polymerase, beta subunit/140 kD subunit
COG0086	RpoC	2	1.394801	0.000321	DNA-directed RNA polymerase, beta' subunit/160 kD subunit
COG0087	RplC	1	0.995412	0.000229	Ribosomal protein L3
COG0088	RplD	1	0.981308	0.000226	Ribosomal protein L4
