	Tags	SeqName	Description	Length	#Hits	e-Value	sim mean	#GO	GO IDs	GO Names	Enzyme Codes	Enzyme Names	InterPro IDs	InterPro GO IDs	InterPro GO Names
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0EM40|A0A0P0EM40_AZOBR	type I DNA topoisomerase	954	20	0.0	94.87	5	F:GO:0003677; F:GO:0003917; C:GO:0005694; P:GO:0006265; F:GO:0046872	F:DNA binding; F:DNA topoisomerase type I (single strand cut, ATP-independent) activity; C:chromosome; P:DNA topological change; F:metal ion binding	EC:5.99.1.2	DNA topoisomerase			
true	[NO-BLAST]	tr|A0A0P0EVB1|A0A0P0EVB1_AZOBR	---NA---	68											
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0ERY8|A0A0P0ERY8_AZOBR	flagellar hook assembly protein FlgD	216	20	4.21494E-153	86.89	1	P:GO:0044781	P:bacterial-type flagellum organization					
true	[NO-BLAST]	tr|A0A0P0F4X9|A0A0P0F4X9_AZOBR	---NA---	452											
true	[NO-BLAST]	tr|A0A0P0FDC7|A0A0P0FDC7_AZOBR	---NA---	70											
true	[NO-BLAST]	tr|A0A0P0EWL1|A0A0P0EWL1_AZOBR	---NA---	295											
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0EYS7|A0A0P0EYS7_AZOBR	3-deoxy-D-manno-octulosonic acid transferase	427	20	0.0	86.97	1	F:GO:0016757	F:transferase activity, transferring glycosyl groups					
true	[NO-BLAST]	tr|A0A0P0F3J6|A0A0P0F3J6_AZOBR	---NA---	260											
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0EWU8|A0A0P0EWU8_AZOBR	acetoin utilization protein	309	20	0.0	96.47	1	F:GO:0016787	F:hydrolase activity					
true	[BLASTED, MAPPED]	tr|A0A0P0EIY5|A0A0P0EIY5_AZOBR	REBMT_NOCAERecName: Full=Demethylrebeccamycin-D-glucose O-methyltransferase; AltName: Full=Rebeccamycin O-methyltransferase; AltName: Full=Rebeccamycin sugar 4'-O-methyltransferase RebM	227	16	3.73758E-9	49.15	15	F:GO:0003674; C:GO:0005575; P:GO:0006744; P:GO:0008150; F:GO:0008168; F:GO:0008425; F:GO:0008689; F:GO:0008757; P:GO:0009102; F:GO:0010340; F:GO:0016740; P:GO:0032259; F:GO:0061542; F:GO:0102082; F:GO:0102130	F:molecular_function; C:cellular_component; P:ubiquinone biosynthetic process; P:biological_process; F:methyltransferase activity; F:2-polyprenyl-6-methoxy-1,4-benzoquinone methyltransferase activity; F:3-demethylubiquinone-9 3-O-methyltransferase activity; F:S-adenosylmethionine-dependent methyltransferase activity; P:biotin biosynthetic process; F:carboxyl-O-methyltransferase activity; F:transferase activity; P:methylation; F:3-demethylubiquinol-n 3-O-methyltransferase activity; F:demethylrebeccamycin--D-glucose O-methyltransferase activity; F:malonyl-CoA methyltransferase activity					
true	[NO-BLAST]	tr|A0A0N7I8E6|A0A0N7I8E6_AZOBR	---NA---	76											
true	[NO-BLAST]	tr|A0A0N7I813|A0A0N7I813_AZOBR	---NA---	388											
true	[BLASTED, MAPPED]	tr|A0A0P0EHJ0|A0A0P0EHJ0_AZOBR	PYRHY_SPHWJRecName: Full=Pyrethroid hydrolase	229	1	1.89851E-8	40.59	3	F:GO:0016787; F:GO:0052689; F:GO:0102209	F:hydrolase activity; F:carboxylic ester hydrolase activity; F:trans-permethrin hydrolase activity					
true	[NO-BLAST]	tr|A0A0N7I8K3|A0A0N7I8K3_AZOBR	---NA---	230											
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0N7I7N5|A0A0N7I7N5_AZOBR	ATPase	232	20	1.17409E-166	84.1	2	C:GO:0016020; P:GO:0043461	C:membrane; P:proton-transporting ATP synthase complex assembly					
true	[NO-BLAST]	tr|A0A0N7I8C6|A0A0N7I8C6_AZOBR	---NA---	412											
true	[BLASTED, MAPPED]	tr|A0A0P0F9P3|A0A0P0F9P3_AZOBR	COBG_PSEDERecName: Full=Precorrin-3B synthase	465	8	2.90547E-17	46.46	18	P:GO:0000103; F:GO:0004783; P:GO:0006779; P:GO:0008652; P:GO:0009236; C:GO:0009337; F:GO:0016491; P:GO:0019344; F:GO:0020037; P:GO:0042128; F:GO:0043818; F:GO:0046872; F:GO:0048307; F:GO:0050661; F:GO:0051536; F:GO:0051539; P:GO:0055114; P:GO:0070814	P:sulfate assimilation; F:sulfite reductase (NADPH) activity; P:porphyrin-containing compound biosynthetic process; P:cellular amino acid biosynthetic process; P:cobalamin biosynthetic process; C:sulfite reductase complex (NADPH); F:oxidoreductase activity; P:cysteine biosynthetic process; F:heme binding; P:nitrate assimilation; F:precorrin-3B synthase activity; F:metal ion binding; F:ferredoxin-nitrite reductase activity; F:NADP binding; F:iron-sulfur cluster binding; F:4 iron, 4 sulfur cluster binding; P:oxidation-reduction process; P:hydrogen sulfide biosynthetic process					
true	[NO-BLAST]	tr|A0A0N7I7T3|A0A0N7I7T3_AZOBR	---NA---	266											
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0FAE6|A0A0P0FAE6_AZOBR	PUCL_BACSURecName: Full=Uric acid degradation bifunctional protein PucL; Includes: RecName: Full=2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase; Short=OHCU decarboxylase; Includes: RecName: Full=Uricase; AltName: Full=Urate oxidase	160	2	1.47807E-31	55.66	2	F:GO:0003824; P:GO:0008152	F:catalytic activity; P:metabolic process					
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0FD69|A0A0P0FD69_AZOBR	SAUR_CUPNHRecName: Full=Probable transcriptional regulator SauR	290	8	1.91763E-36	49.01	2	F:GO:0005488; P:GO:0006355	F:binding; P:regulation of transcription, DNA-templated					
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0ERE4|A0A0P0ERE4_AZOBR	NOC_GEOSWRecName: Full=Nucleoid occlusion protein; Short=Noc	298	20	3.92435E-29	57.39	3	P:GO:0007059; C:GO:0043590; P:GO:0045881	P:chromosome segregation; C:bacterial nucleoid; P:positive regulation of sporulation resulting in formation of a cellular spore					
true	[BLASTED]	tr|A0A0P0F6G1|A0A0P0F6G1_AZOBR	YHCV_BACSURecName: Full=CBS domain-containing protein YhcV	145	1	4.60458E-8	53.38								
true	[NO-BLAST]	tr|A0A0P0F8B0|A0A0P0F8B0_AZOBR	---NA---	472											
